"Darío Rodríguez","[]"
"Pietro Ferraris","['years1= 1929–1932 |clubs1= [[F.C. Pro Vercelli 1892|Pro Vercelli]] |caps1= 86 |goals1= 19\n|years2= 1932–1936 |clubs2= [[S.S.C. Napoli|Napoli]] |caps2= 83 |goals2= 13\n|years3= 1936–1941 |clubs3= [[Inter Milan|Ambrosiana-Inter]] |caps3= 139 |goals3= 43\n|years4= 1941–1948 |clubs4= [[Torino F.C.|Torino]] |caps4= 168 |goals4= 55\n|years5= 1948–1950 |clubs5= [[Novara Calcio|Novara]] |caps5= 57 |goals5= 20\n|totalcaps=533\n|totalgoals=150\n|']"
"Gordon Strachan","['years1 = 1971–1974 |youthclubs1 = [[Dundee F.C.|Dundee]]\n|         years1 = 1974–1977 |clubs1 = [[Dundee F.C.|Dundee]]                       |caps1 = 69  |goals1 = 13\n|         years2 = 1977–1984 |clubs2 = [[Aberdeen F.C.|Aberdeen]]                   |caps2 = 183 |goals2 = 55\n|         years3 = 1984–1989 |clubs3 = [[Manchester United F.C.|Manchester United]] |caps3 = 160 |goals3 = 33\n|         years4 = 1989–1995 |clubs4 = [[Leeds United F.C.|Leeds United]]           |caps4 = 197 |goals4 = 37\n|         years5 = 1995–1997 |clubs5 = [[Coventry City F.C.|Coventry City]]         |caps5 = 26  |goals5 = 0\n|      totalcaps = 635 |totalgoals = 138\n| ']"
"Amarildo Tavares da Silveira","['years1 = 1956–1957 | youthclubs1 = [[Goytacaz Futebol Clube|Goytacaz]]\n| youthyears2 = 1958 | youthclubs2 = [[Clube de Regatas do Flamengo|Flamengo]]\n| years1 = 1958 | clubs1 = [[Clube de Regatas do Flamengo|Flamengo]]            | caps1 = 0 | goals1 = 0\n| years2 = 1958–1963 | clubs2 = [[Botafogo de Futebol e Regatas|Botafogo]]   | caps2 = 85 | goals2 = 45\n| years3 = 1963–1967 | clubs3 = [[A.C. Milan|Milan]]                            | caps3 = 107 | goals3 = 32\n| years4 = 1967–1971 | clubs4 = [[ACF Fiorentina|Fiorentina]]                   | caps4 = 62  | goals4 = 16\n| years5 = 1971–1972 | clubs5 = [[A.S. Roma|Roma]]                              | caps5 = 32  | goals5 = 10\n| years6 = 1973–1974 | clubs6 = [[Club de Regatas Vasco da Gama|Vasco da Gama]] | caps6 = 7   | goals6 = 0\n| totalcaps = 293    | totalgoals = 103\n| ']"
"Atilio Cremaschi","['years1=1940–1952|clubs1=[[Unión Española]]|caps1=|goals1=\n|years2=1953–1958|clubs2=[[Colo-Colo]]|caps2=|goals2=\n|years3=1959–1964|clubs3=[[Rangers de Talca]]|caps3=|goals3=\n|totalcaps=|totalgoals=\n|']"
"András Tóth","[]"
"Carlos Blanco","[]"
"Baltazar","[]"
"Ernst Lehner","['years1=1929-1940\n|clubs1=[[TSV Schwaben Augsburg|Schwaben Augsburg]]\n|caps1=|goals1=\n|years2=1940-1943\n|clubs2=[[Blau-Weiß 1890 Berlin|BW 1890 Berlin]]\n|caps2=1\n|goals2=0\n|years3=1943-1947\n|clubs3=[[TSV Schwaben Augsburg|Schwaben Augsburg]]\n|years4=1947-1951\n|clubs4=[[Viktoria Aschaffenburg]]\n|caps4=40\n|goals4=4\n|totalcaps=|totalgoals=\n|']"
"Pál Teleki","[]"
