"Iperzola Ponteroncariale","{'Italy': 14}"
"Legia Warsaw","{'Antarctica': 3, 'Australia': 3, 'Austria': 8, 'Belarus': 2, 'China': 2, 'Colombia': 2, 'Costa Rica': 2, 'Germany': 2, 'Denmark': 2, 'Ecuador': 2, 'Spain': 8, 'France': 2, 'Greece': 4, 'Croatia': 2, 'Hungary': 3, 'Indonesia': 2, 'Ireland': 3, 'Italy': 4, 'Jordan': 2, 'Korea, Republic of': 1, 'Lithuania': 4, 'Netherlands': 6, 'Norway': 2, 'Oman': 12, 'Poland': 64, 'Portugal': 2, 'Romania': 6, 'Serbia': 8, 'Slovakia': 4, 'Sweden': 2, 'England': 3, 'Northern Ireland': 3, 'America': 3, 'Yugoslavia': 3, 'South Korea': 3, 'Russia': 6}"
"Colo-Colo","{'Argentina': 2, 'Brazil': 6, 'Chile': 392, 'Croatia': 2, 'Mexico': 4, 'Peru': 6, 'Paraguay': 2, 'Uruguay': 4, 'Venezuela, Bolivarian Republic of': 3, 'America': 99, 'Yugoslavia': 3}"
"CD Leganés","{'Argentina': 14, 'Chile': 2, 'Cameroon': 6, 'Denmark': 2, 'Spain': 90, 'France': 2, 'Guinea': 4, 'Equatorial Guinea': 4, 'Greece': 2, 'Iran, Islamic Republic of': 1, 'Morocco': 6, 'Mexico': 4, 'Niger': 4, 'Nigeria': 4, 'Portugal': 4, 'Saudi Arabia': 2, 'Tunisia': 2, 'Uruguay': 4, 'Venezuela, Bolivarian Republic of': 1, 'England': 3, 'Russia': 3}"
"Luzenac AP","{'France': 8}"
"Barcelona FC","{'Argentina': 6, 'Brazil': 20, 'Colombia': 4, 'Cuba': 2, 'Germany': 2, 'Egypt': 4, 'Spain': 62, 'France': 10, 'Hungary': 3, 'Jersey': 12, 'Japan': 6, 'Mexico': 4, 'Netherlands': 4, 'Palau': 4, 'Qatar': 16, 'Saudi Arabia': 2, 'Chad': 4, 'United States': 2, 'South Africa': 2, 'England': 3, 'America': 3}"
"Büyükşehir Belediye Erzurumspor","{'Turkey': 42}"
"Gold Coast City FC","{'Australia': 18}"
"PSV Eindhoven","{'Belgium': 2, 'Brazil': 6, 'Jersey': 9, 'Jordan': 2, 'Monaco': 4, 'Mali': 2, 'Netherlands': 54, 'United States': 4, 'Russia': 3}"
"Club Atlético San Telmo","{'Argentina': 72, 'Jersey': 6}"
"América Football Club (RJ)","{'Argentina': 2, 'Brazil': 64, 'Iran, Islamic Republic of': 2, 'Peru': 2, 'Chad': 4, 'America': 216}"
"Tankista Prague","{}"
"Spartak Žebrák","{}"
"Abha Club","{'Algeria': 2, 'Saudi Arabia': 18}"
"F.C. Verbroedering Dender Eendracht Hekelgem","{'Belgium': 16}"
"Étoile Sportive du Sahel","{'Bosnia and Herzegovina': 2, 'Brazil': 6, 'Cameroon': 4, 'Germany': 2, 'Algeria': 6, 'Egypt': 6, 'Spain': 2, 'Ethiopia': 2, 'France': 6, 'Gabon': 2, 'Ghana': 4, 'Guinea': 2, 'Croatia': 2, 'Iraq': 2, 'Jersey': 6, 'Jordan': 2, 'Japan': 9, 'Libya': 3, 'Morocco': 6, 'Monaco': 4, 'Mexico': 2, 'Mali': 4, 'Niger': 4, 'Nigeria': 4, 'Saudi Arabia': 4, 'Sudan': 8, 'Serbia': 4, 'Tunisia': 396, 'America': 6, 'Yugoslavia': 3}"
"Qatar SC","{'Bosnia and Herzegovina': 4, 'Iran, Islamic Republic of': 1, 'Qatar': 194, 'Slovakia': 6}"
"SBV Excelsior","{'Australia': 3, 'Belgium': 4, 'Brazil': 2, 'Chile': 2, 'Congo': 2, 'Denmark': 4, 'Ghana': 2, 'Guinea': 2, 'Indonesia': 2, 'Ireland': 3, 'Jordan': 2, 'Morocco': 2, 'Netherlands': 46, 'South Africa': 2}"
"Boston Minutemen","{'Croatia': 2, 'United States': 2, 'England': 3, 'America': 33}"
"Real Zaragoza","{'Argentina': 42, 'Austria': 2, 'Bulgaria': 4, 'Belarus': 2, 'Brazil': 14, 'Chile': 4, 'China': 4, 'Colombia': 4, 'Cuba': 2, 'Czechia': 1, 'Germany': 2, 'Spain': 268, 'France': 8, 'Croatia': 6, 'Hungary': 6, 'Iran, Islamic Republic of': 2, 'Italy': 4, 'Japan': 3, 'Mexico': 6, 'Montenegro': 6, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 4, 'Oman': 6, 'Peru': 6, 'Poland': 2, 'Portugal': 12, 'Paraguay': 8, 'Romania': 9, 'Serbia': 10, 'Slovakia': 2, 'Sweden': 2, 'Uruguay': 10, 'Yugoslavia': 15, 'Russia': 3}"
"Wimbledon F.C.","{'United Kingdom': 4, 'Ireland': 9, 'Norway': 2, 'England': 54}"
"Aberdeen F.C.","{'Belgium': 2, 'Germany': 2, 'Denmark': 2, 'France': 2, 'United Kingdom': 4, 'Ireland': 3, 'Iran, Islamic Republic of': 2, 'England': 15, 'Scotland': 306}"
