"Curry Silver Tops","America"
"GBS Football Academy","Nigeria"
"SK Olimpija","Yugoslavia"
"Prévoyance Yaoundé","Cameroon"
"Leopoldauer SC","Austria"
"SV Harburg","Germany"
":fr:Union sportive de Lège-Cap-Ferret","France"
"Sportgemeinschaft SS Posen","Germany"
"Zuglói MADISZ","Hungary"
"Rail Douala","Cameroon"
"Pettirossi (Encarnación)","Paraguay"
"FCE Meetjesland","Belgium"
"Highley Miners Welfare","England"
"Central Atletico Lito","Uruguay"
"Komárom AC","Hungary"
"FC Hradec Králové{{efn","Czechia"
"Tankista Prague","Czechia"
"Royton Town","England"
"SKA Rostov","Russian Federation"
"Africa Sports National","Ivory Coast"
"US Maubeuge","France"
"Dukla Tábor","Czechia"
"Admira Vienna","Austria"
"Tigre Douala","Cameroon"
"KSV Sottegem","Belgium"
"Dunakeszi VSE","Hungary"
"Lone FC","America"
"NK Borac Zagreb","Yugoslavia"
"ASV Hohenau","Austria"
"Atlético Saquisilí","Ecuador"
"UNTL Kaduna","Nigeria"
"SV Cuxhaven","Germany"
"Alibeyköy S.K.","Turkey"
"Afyonkarahisarspor","Turkey"
"Eintracht Wels","Austria"
"1. FC Hochstadt","Germany"
"FC Kazanka Moscow","Russian Federation"
"Kaposvár Kinizsi","Hungary"
"FC Oryol","Russian Federation"
"Farbenlutz","Austria"
"Ontario Fury (indoor)","America"
"Sporting Club de Barranquilla","Colombia"
"FC Spartak Tambov","Russian Federation"
"FC Porrentruy","Switzerland"
"FShM Moscow","Russian Federation"
"Generación Saprissa Tibas","Costa Rica"
"Medskogsbrons BK","Sweden"
"Türkspor Mannheim","Germany"
"União Monte Alegre","Brazil"
"Transporta Chrudim","Czechia"
"FC Moutier","Switzerland"
"U.S.C. Corigliano Calcio","Italy"
"Löwenbrau (amateurs)","Germany"
"Wanderers de Durazno","Uruguay"
"SC Zwiesel","Germany"
"Čechoslovan Košíře","Czechia"
"Victoria Roman","America"
"Spartak Žebrák","Czechia"
"Södertälje SK (football)","Sweden"
":fr:Union sportive marocaine de Casablanca","France"
"Stade Vallauris","France"
"Norra Fågelås IF","Sweden"
"Wildcats A.C.","America"
"AS Saint-Rémy","France"
"ASK Kottingbrunn","Austria"
":it:Football Club Bolzano 1996","Italy"
"Eclair de Douala","Cameroon"
"SC Hinteregger","Austria"
"Alexandra United","England"
"Strojárne Martin","Yugoslavia"
"Malatyaspor","Turkey"
"Kőbányai TC","Hungary"
"Iberia La Habana","Cuba"
"LSV Markersdorf an der Pielach","Austria"
"Iskra Moscow","Russian Federation"
"Carmen București{{ref","Romania"
"C.A Bella Vista","Uruguay"
"Sociedade Esportiva e Recreativa Perdigão","Brazil"
"SK Plzeň","Czechia"
"Jedlersdorf","Austria"
"Wolfenden Shore","America"
"KE Appelterre-Eichem","Belgium"
"Dukla Pardubice","Czechia"
"Büyükşehir Belediye Erzurumspor","Turkey"
"SC Wirges","Germany"
"Cobreloa B","Chile"
"CD Baio","Spain"
"Atlético Buenaventura","Colombia"
"Municipal Goicoechea","Costa Rica"
"FC Wien","Austria"
"Dura Timișoara","Romania"
"FC Smena Komsomolsk-na-Amure","Russian Federation"
"Germania Hamm","Germany"
"Cromac Albion","Northern Ireland"
"Centro Gallego","Spain"
"Delta Warsaw","Poland"
"St. Louis Wildcats","America"
"St Paul's Swifts","Northern Ireland"
"FC Yuriy Gagarin","Ukraine"
"Heidelberg SC","Germany"
"St Denis St Leu","France"
"Erzurumspor","Turkey"
"Vatev Beloslav","Bulgaria"
"Ferro Carril","Argentina"
"FC Raron","Switzerland"
"Drukarz Warszawa","Poland"
"Raftery's","America"
"FC Hermagor","Austria"
"FC Interros Moscow","Russian Federation"
"Porongos (:es:Centro Recreativo Porongos Fútbol Club","Uruguay"
"Rapid Vinohrady","Czechia"
