"NK TOŠK Tešanj","{'Bosnia and Herzegovina': 44}"
"FC Presnya Moscow","{'Iraq': 2, 'Lithuania': 2, 'Oman': 2}"
"Persma Manado","{'Indonesia': 14}"
"IF Elfsborg","{'Argentina': 8, 'Austria': 14, 'Azerbaijan': 2, 'Belgium': 2, 'Bulgaria': 4, 'Bosnia and Herzegovina': 2, 'Brazil': 2, 'Switzerland': 8, 'Czechia': 1, 'Germany': 14, 'Denmark': 14, 'Spain': 8, 'Estonia': 2, 'Finland': 12, 'France': 2, 'Faroe Islands': 3, 'Greece': 2, 'Croatia': 4, 'Hungary': 12, 'Ireland': 15, 'Iran, Islamic Republic of': 3, 'Iceland': 2, 'Israel': 4, 'Italy': 6, 'Lithuania': 2, 'Luxembourg': 2, 'Latvia': 4, 'Moldova, Republic of': 4, 'Mali': 6, 'Malta': 2, 'Netherlands': 8, 'Norway': 10, 'Oman': 6, 'Poland': 10, 'Portugal': 8, 'Romania': 6, 'Slovakia': 8, 'Sweden': 240, 'Uruguay': 2, 'England': 12, 'Scotland': 15, 'Northern Ireland': 9, 'Yugoslavia': 12}"
"Parramatta Eagles","{'Argentina': 2, 'Australia': 33, 'Austria': 4, 'Cameroon': 4, 'Guinea': 4, 'Lebanon': 4, 'Malta': 6, 'New Zealand': 6, 'Philippines': 2, 'Poland': 2, 'Uruguay': 2, 'Wales': 18}"
"FC Volov Shumen","{'Bulgaria': 240}"
"Glentoran F.C.","{'Belgium': 6, 'Bulgaria': 4, 'Switzerland': 2, 'Czechia': 1, 'Denmark': 2, 'Spain': 2, 'Finland': 6, 'France': 4, 'Faroe Islands': 3, 'United Kingdom': 2, 'Greece': 2, 'Ireland': 138, 'Iceland': 10, 'Israel': 4, 'Italy': 2, 'Jordan': 2, 'Luxembourg': 2, 'Latvia': 2, 'Malta': 6, 'Montenegro': 3, 'Netherlands': 2, 'Norway': 6, 'Oman': 4, 'Poland': 2, 'Portugal': 2, 'Romania': 6, 'San Marino': 2, 'Slovakia': 4, 'Sweden': 4, 'Ukraine': 3, 'England': 18, 'Scotland': 27, 'Wales': 3, 'Northern Ireland': 111, 'America': 9}"
"Tecos F.C.","{'Argentina': 18, 'Austria': 2, 'Brazil': 14, 'Chile': 18, 'Cameroon': 2, 'Costa Rica': 4, 'Ecuador': 2, 'Spain': 4, 'Guatemala': 2, 'Honduras': 2, 'Hungary': 3, 'Kenya': 2, 'Mexico': 116, 'Oman': 2, 'Peru': 6, 'Paraguay': 8, 'Serbia': 6, 'Uruguay': 34, 'United States': 4, 'America': 3, 'Yugoslavia': 3}"
"Aris Thessaloniki F.C.","{'Argentina': 8, 'Armenia': 6, 'Austria': 20, 'Belgium': 2, 'Bulgaria': 8, 'Bosnia and Herzegovina': 2, 'Belarus': 2, 'Brazil': 4, 'Switzerland': 2, 'Cyprus': 8, 'Germany': 16, 'Denmark': 2, 'Spain': 16, 'Finland': 2, 'France': 6, 'Georgia': 3, 'Greece': 318, 'Croatia': 2, 'Hungary': 6, 'Israel': 4, 'Italy': 18, 'Kazakhstan': 2, "Lao People's Democratic Republic": 8, 'Moldova, Republic of': 1, 'Malta': 4, 'Netherlands': 2, 'Norway': 4, 'Oman': 6, 'Peru': 12, 'Poland': 8, 'Portugal': 10, 'Sierra Leone': 2, 'Serbia': 6, 'Slovakia': 6, 'Sweden': 2, 'Chad': 4, 'Ukraine': 6, 'Uruguay': 2, 'England': 24, 'America': 6, 'Yugoslavia': 42}"
"Clube Atlético Juventus","{'Brazil': 24, 'Italy': 2, 'America': 3}"
"Lanceros Boyacá","{'Colombia': 14}"
